x,u
0.49687108,0.9999717
0.49812266,0.9999717
0.4993742,0.9999718
0.5006258,0.9999717
0.50187737,0.9999718
0.5031289,0.99997157
0.50438046,0.99997157
0.50563204,0.9999718
0.5068836,0.99997175
0.50813514,0.99997157
0.5093867,0.99997157
0.5106383,0.9999717
0.5118899,0.9999717
0.51314145,0.99997157
0.514393,0.99997157
0.51564455,0.99997157
0.5168961,0.99997187
0.5181477,0.9999718
0.5193992,0.99997145
0.5206508,0.9999718
0.5219024,0.9999718
0.52315396,0.9999718
0.5244055,0.9999717
0.52565706,0.9999717
0.52690864,0.9999717
0.5281602,0.99997157
0.5294118,0.99997145
0.5306633,0.99997157
0.5319149,0.9999717
0.53316647,0.9999715
0.53441805,0.99997145
0.53566957,0.99997145
0.53692114,0.99997133
0.5381727,0.9999712
0.5394243,0.9999712
0.5406758,0.99997103
0.5419274,0.9999705
0.543179,0.9999704
0.54443055,0.99997014
0.54568213,0.9999694
0.54693365,0.99996907
0.5481852,0.9999682
0.5494368,0.9999674
0.5506884,0.99996597
0.5519399,0.9999644
0.5531915,0.9999625
0.55444306,0.9999599
0.55569464,0.9999568
0.55694616,0.99995273
0.55819774,0.9999478
0.5594493,0.99994147
0.5607009,0.9999339
0.5619524,0.99992454
0.563204,0.9999135
0.56445557,0.9999004
0.56570715,0.9998856
0.5669587,0.9998698
0.56821024,0.999854
0.5694618,0.9998412
0.5707134,0.9998339
0.571965,0.99983793
0.5732165,0.9998613
0.5744681,0.9999141
0.57571965,1.0000097
0.57697123,1.0001638
0.57822275,1.0003933
0.57947433,1.0007153
0.5807259,1.0011421
0.5819775,1.0016773
0.58322906,1.0023042
0.5844806,1.0029781
0.58573216,1.0036199
0.58698374,1.0041194
0.5882353,1.0043539
0.58948684,1.0041993
0.5907384,1.0034604
0.59199,1.0017465
0.5932416,1.0000374
0.5944931,0.99874026
0.59574467,0.99837244
0.59699625,0.99952203
0.5982478,1.0019333
0.59949934,1.0049026
0.6007509,1.0077556
0.6020025,1.0100615
0.6032541,1.0116258
0.60450566,1.0124037
0.6057572,1.0124372
0.60700876,1.0118129
0.60826033,1.0106589
0.6095119,1.0091419
0.61076343,1.0074143
0.612015,1.0055138
0.6132666,1.0034125
0.61451817,1.0011967
0.6157697,0.99901044
0.61702126,0.9967769
0.61827284,0.9941073
0.6195244,0.9905855
0.620776,0.9862095
0.6220275,0.9812624
0.6232791,0.9751599
0.6245307,0.96689886
0.62578225,0.96066576
0.62703377,0.95681053
0.62828535,0.9509594
0.6295369,0.9456348
0.6307885,0.93616873
0.63204,0.92099196
0.6332916,0.9020192
0.6345432,0.8773331
0.63579476,0.84530914
0.63704634,0.7807561
0.63829786,0.68378836
0.63954943,0.5942803
0.640801,0.4756598
0.6420526,0.3446115
0.6433041,0.26959243
0.6445557,0.22103839
0.64580727,0.17970112
0.64705884,0.14474246
