x,rho_exact,rho_fdm,rho_present
7.520000e-01,0.000000e+00,0.000000e+00,-1.356232e-06
7.560000e-01,0.000000e+00,0.000000e+00,-7.797954e-07
7.600000e-01,0.000000e+00,0.000000e+00,-4.382407e-07
7.640000e-01,0.000000e+00,0.000000e+00,-2.404908e-07
7.680000e-01,0.000000e+00,0.000000e+00,-1.288294e-07
7.720000e-01,0.000000e+00,0.000000e+00,-6.740677e-08
7.760000e-01,0.000000e+00,0.000000e+00,-3.450175e-08
7.800000e-01,0.000000e+00,0.000000e+00,-1.732087e-08
7.840000e-01,0.000000e+00,0.000000e+00,-8.559988e-09
7.880000e-01,0.000000e+00,0.000000e+00,-4.183160e-09
7.920000e-01,0.000000e+00,0.000000e+00,-2.031682e-09
7.960000e-01,0.000000e+00,0.000000e+00,-9.857386e-10
8.000000e-01,0.000000e+00,0.000000e+00,-4.799986e-10
8.040000e-01,0.000000e+00,0.000000e+00,-2.353956e-10
8.080000e-01,0.000000e+00,0.000000e+00,-1.164599e-10
8.120000e-01,0.000000e+00,0.000000e+00,-5.810332e-11
8.160000e-01,0.000000e+00,0.000000e+00,-2.916112e-11
8.200000e-01,0.000000e+00,0.000000e+00,-1.466141e-11
8.240000e-01,0.000000e+00,0.000000e+00,-7.344476e-12
8.280000e-01,0.000000e+00,0.000000e+00,-3.642770e-12
8.320000e-01,0.000000e+00,0.000000e+00,-1.776643e-12
8.360000e-01,0.000000e+00,0.000000e+00,-8.458331e-13
8.400000e-01,0.000000e+00,0.000000e+00,-3.900919e-13
8.440000e-01,0.000000e+00,0.000000e+00,-1.729323e-13
8.480000e-01,0.000000e+00,0.000000e+00,-7.314149e-14
8.520000e-01,0.000000e+00,0.000000e+00,-2.932492e-14
8.560000e-01,0.000000e+00,0.000000e+00,-1.110056e-14
8.600000e-01,0.000000e+00,0.000000e+00,-3.969205e-15
8.640000e-01,0.000000e+00,0.000000e+00,-1.351284e-15
8.680000e-01,0.000000e+00,0.000000e+00,-4.460054e-16
8.720000e-01,0.000000e+00,0.000000e+00,-1.468803e-16
8.760000e-01,0.000000e+00,0.000000e+00,-4.994969e-17
8.800000e-01,0.000000e+00,0.000000e+00,-1.806658e-17
8.840000e-01,0.000000e+00,0.000000e+00,-7.054886e-18
8.880000e-01,0.000000e+00,0.000000e+00,-2.969498e-18
8.920000e-01,0.000000e+00,0.000000e+00,-1.330537e-18
8.960000e-01,0.000000e+00,0.000000e+00,-6.243075e-19
9.000000e-01,0.000000e+00,0.000000e+00,-3.018462e-19
9.040000e-01,0.000000e+00,0.000000e+00,-1.482128e-19
9.080000e-01,0.000000e+00,0.000000e+00,-7.296263e-20
9.120000e-01,0.000000e+00,0.000000e+00,-3.559011e-20
9.160000e-01,0.000000e+00,0.000000e+00,-1.701121e-20
9.200000e-01,0.000000e+00,0.000000e+00,-7.880650e-21
9.240000e-01,0.000000e+00,0.000000e+00,-3.499902e-21
9.280000e-01,0.000000e+00,0.000000e+00,-1.474193e-21
9.320000e-01,0.000000e+00,0.000000e+00,-5.831863e-22
9.360000e-01,0.000000e+00,0.000000e+00,-2.150314e-22
9.400000e-01,0.000000e+00,0.000000e+00,-7.358559e-23
9.440000e-01,0.000000e+00,0.000000e+00,-2.337057e-23
9.480000e-01,0.000000e+00,0.000000e+00,-6.921176e-24
9.520000e-01,0.000000e+00,0.000000e+00,-1.928245e-24
9.560000e-01,0.000000e+00,0.000000e+00,-5.103438e-25
9.600000e-01,0.000000e+00,0.000000e+00,-1.290670e-25
9.640000e-01,0.000000e+00,0.000000e+00,-3.112275e-26
9.680000e-01,0.000000e+00,0.000000e+00,-7.068407e-27
9.720000e-01,0.000000e+00,0.000000e+00,-1.476716e-27
9.760000e-01,0.000000e+00,0.000000e+00,-2.733985e-28
9.800000e-01,0.000000e+00,0.000000e+00,-4.237185e-29
9.840000e-01,0.000000e+00,0.000000e+00,-5.023959e-30
9.880000e-01,0.000000e+00,0.000000e+00,-3.909198e-31
9.920000e-01,0.000000e+00,0.000000e+00,-1.493594e-32
9.960000e-01,0.000000e+00,0.000000e+00,-1.548006e-34
1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.004000e+00,0.000000e+00,0.000000e+00,0.000000e+00
