x,rho,u,p
0.66958696,0.33366647,1.0016688,0.34092873
0.67083853,0.3335124,1.001731,0.34069076
0.6720901,0.33335677,1.0017821,0.34045056
0.6733417,0.33319947,1.0018214,0.34020793
0.67459327,0.33304048,1.0018495,0.33996266
0.6758448,0.33287957,1.0018653,0.33971468
0.67709637,0.33271688,1.0018686,0.33946353
0.67834795,0.33255202,1.0018595,0.33920944
0.6795995,0.3323849,1.0018369,0.33895168
0.68085104,0.3322155,1.0018009,0.3386906
0.6821026,0.33204368,1.0017506,0.33842555
0.6833542,0.33186945,1.0016855,0.3381565
0.6846058,0.33169225,1.001605,0.33788303
0.6858573,0.33151227,1.0015084,0.33760497
0.6871089,0.33132938,1.0013946,0.33732197
0.68836045,0.33114308,1.001263,0.33703366
0.68961203,0.33095366,1.0011128,0.33673972
0.69086355,0.3307606,1.0009426,0.3364399
0.6921151,0.33056387,1.0007511,0.33613363
0.6933667,0.33036327,1.0005373,0.3358204
0.6946183,0.33015856,1.0002996,0.3354998
0.69586986,0.32994956,1.0000364,0.3351712
0.6971214,0.32973593,0.9997455,0.33483407
0.69837296,0.32951748,0.9994254,0.33448765
0.69962454,0.32929382,0.9990736,0.33413127
0.7008761,0.3290648,0.998688,0.333764
0.70212764,0.3288298,0.99826515,0.3333849
0.7033792,0.32858866,0.99780285,0.33299303
0.7046308,0.3283406,0.99729705,0.3325871
0.7058824,0.32808524,0.9967445,0.33216587
0.7071339,0.3278219,0.9961406,0.33172804
0.70838547,0.3275499,0.99548113,0.3312717
0.70963705,0.3272683,0.99476063,0.33079514
0.7108886,0.32697603,0.9939735,0.33029643
0.7121402,0.326672,0.9931134,0.32977328
