x,rho_exact,rho_fdm,rho_present,rho_muscl_tvd,u_exact,u_fdm,u_present,u_muscl_tvd,P_exact,P_fdm,P_present,P_muscl_tvd
3.12000000e-01,1.00000000e+00,9.58676404e-01,9.58683231e-01,9.95868312e-01,0.00000000e+00,4.96256649e-02,4.96378235e-02,4.89714957e-03,1.00000000e+00,9.42748333e-01,9.42703552e-01,9.94221734e-01
3.16000000e-01,1.00000000e+00,9.50993535e-01,9.50776226e-01,9.92398786e-01,0.00000000e+00,5.90269532e-02,5.93003124e-02,9.02285846e-03,1.00000000e+00,9.32225994e-01,9.31880668e-01,9.89378265e-01
3.20000000e-01,1.00000000e+00,9.42605691e-01,9.42181495e-01,9.86844162e-01,0.00000000e+00,6.93574068e-02,6.99061890e-02,1.56538360e-02,1.00000000e+00,9.20780001e-01,9.20124179e-01,9.81639721e-01
3.24000000e-01,9.93059067e-01,9.33553858e-01,9.32917450e-01,9.78613966e-01,8.23551941e-03,8.05852346e-02,8.13718196e-02,2.55377821e-02,9.90296202e-01,9.08476571e-01,9.07554804e-01,9.70207946e-01
3.28000000e-01,9.74522199e-01,9.23886425e-01,9.23070306e-01,9.67341981e-01,3.04577416e-02,9.26699841e-02,9.36981956e-02,3.91898097e-02,9.64513767e-01,8.95391820e-01,8.94206718e-01,9.54615536e-01
3.32000000e-01,9.56263183e-01,9.13656625e-01,9.12671206e-01,9.53031866e-01,5.26799638e-02,1.05565164e-01,1.06819160e-01,5.67146872e-02,9.39308841e-01,8.81607974e-01,8.80184348e-01,9.34925553e-01
3.36000000e-01,9.38278886e-01,9.02920249e-01,9.01791223e-01,9.36033761e-01,7.49021861e-02,1.19220612e-01,1.20673452e-01,7.78152398e-02,9.14670602e-01,8.67210014e-01,8.65584378e-01,9.11689003e-01
3.40000000e-01,9.20566194e-01,8.91733720e-01,8.90488342e-01,9.16719901e-01,9.71244083e-02,1.33584507e-01,1.35206737e-01,1.02170197e-01,8.90588394e-01,8.52282887e-01,8.50492550e-01,8.85492230e-01
3.44000000e-01,9.03122020e-01,8.80152564e-01,8.78815979e-01,8.96281209e-01,1.19346631e-01,1.48604992e-01,1.50367882e-01,1.28268717e-01,8.67051720e-01,8.36909319e-01,8.34989226e-01,8.57974954e-01
3.48000000e-01,8.85943299e-01,8.68230266e-01,8.66826240e-01,8.77129851e-01,1.41568853e-01,1.64231416e-01,1.66106060e-01,1.53291000e-01,8.44050242e-01,8.21168218e-01,8.19152144e-01,8.32406152e-01
3.52000000e-01,8.69026991e-01,8.56017474e-01,8.54568952e-01,8.58896279e-01,1.63791075e-01,1.80415228e-01,1.82373011e-01,1.77242020e-01,8.21573781e-01,8.05133583e-01,8.03053712e-01,8.08271335e-01
3.56000000e-01,8.52370076e-01,8.43561489e-01,8.42089831e-01,8.41658223e-01,1.86013297e-01,1.97110573e-01,1.99124395e-01,2.00911919e-01,7.99612312e-01,7.88873851e-01,7.86759682e-01,7.85644632e-01
3.60000000e-01,8.35969561e-01,8.30905996e-01,8.29429874e-01,8.24716581e-01,2.08235519e-01,2.14274653e-01,2.16319806e-01,2.23771866e-01,7.78155964e-01,7.72451589e-01,7.70329211e-01,7.63586663e-01
3.64000000e-01,8.19822474e-01,8.18090979e-01,8.16627014e-01,8.08418571e-01,2.30457742e-01,2.31867896e-01,2.33921564e-01,2.46515312e-01,7.57195017e-01,7.55923446e-01,7.53816098e-01,7.42532203e-01
3.68000000e-01,8.03925866e-01,8.05152756e-01,8.03716081e-01,7.92646049e-01,2.52679964e-01,2.49853982e-01,2.51894139e-01,2.69159795e-01,7.36719903e-01,7.39340293e-01,7.37269550e-01,7.22324174e-01
3.72000000e-01,7.88276812e-01,7.92124121e-01,7.90728911e-01,7.77048772e-01,2.74902186e-01,2.68199778e-01,2.70206734e-01,2.91358905e-01,7.16721203e-01,7.22747489e-01,7.20732048e-01,7.02497451e-01
3.76000000e-01,7.72872410e-01,7.79034541e-01,7.77692474e-01,7.61811650e-01,2.97124408e-01,2.86875194e-01,2.88832968e-01,3.13421733e-01,6.97189641e-01,7.06185234e-01,7.04239320e-01,6.83276800e-01
3.80000000e-01,7.57709779e-01,7.65910380e-01,7.64628627e-01,7.47048534e-01,3.19346631e-01,3.05853004e-01,3.07749720e-01,3.35621975e-01,6.78116090e-01,6.89688959e-01,6.87821859e-01,6.64800002e-01
3.84000000e-01,7.42786062e-01,7.52775157e-01,7.51573210e-01,7.32520857e-01,3.41568853e-01,3.25108638e-01,3.26918179e-01,3.57620052e-01,6.59491563e-01,6.73289738e-01,6.71522891e-01,6.46767218e-01
3.88000000e-01,7.28098425e-01,7.39649787e-01,7.38528181e-01,7.18164786e-01,3.63791075e-01,3.44619971e-01,3.46330645e-01,3.79354653e-01,6.41307218e-01,6.57014693e-01,6.55355167e-01,6.29082947e-01
3.92000000e-01,7.13644056e-01,7.26552833e-01,7.25514752e-01,7.04107732e-01,3.86013297e-01,3.64367102e-01,3.65971214e-01,4.01088901e-01,6.23554351e-01,6.40887392e-01,6.39338930e-01,6.11898274e-01
3.96000000e-01,6.99420164e-01,7.13500742e-01,7.12553057e-01,6.90443876e-01,4.08235519e-01,3.84332147e-01,3.85820379e-01,4.22976457e-01,6.06224394e-01,6.24928216e-01,6.23495608e-01,5.95326926e-01
4.00000000e-01,6.85423983e-01,7.00508057e-01,6.99657035e-01,6.76961959e-01,4.30457742e-01,4.04499038e-01,4.05862232e-01,4.44697548e-01,5.89308920e-01,6.09154711e-01,6.07842080e-01,5.79112192e-01
4.04000000e-01,6.71652768e-01,6.87587629e-01,6.86836495e-01,6.63633288e-01,4.52679964e-01,4.24853336e-01,4.26083032e-01,4.66215190e-01,5.72799635e-01,5.93581898e-01,5.92392220e-01,5.63201344e-01
